,sat_2018_state,sat_2018_participation,sat_2018_erw,sat_2018_math,sat_2018_total,act_2018_state,act_2018_participation,act_2018_english,act_2018_math,act_2018_reading,act_2018_science,act_2018_composite
0,Alabama,0.06,595,571,1166,Alabama,1.0,18.9,18.3,19.6,19.0,19.1
1,Alaska,0.43,562,544,1106,Alaska,0.33,19.8,20.6,21.6,20.7,20.8
2,Arizona,0.29,577,572,1149,Arizona,0.66,18.2,19.4,19.5,19.2,19.2
3,Arkansas,0.05,592,576,1169,Arkansas,1.0,19.1,18.9,19.7,19.4,19.4
4,California,0.6,540,536,1076,California,0.27,22.5,22.5,23.0,22.1,22.7
5,Colorado,1.0,519,506,1025,Colorado,0.3,23.9,23.2,24.4,23.5,23.9
6,Connecticut,1.0,535,519,1053,Connecticut,0.26,26.0,24.8,26.1,24.9,25.6
7,Delaware,1.0,505,492,998,Delaware,0.17,23.7,23.1,24.5,23.4,23.2
8,District of Columbia,0.92,497,480,977,District of Columbia,0.32,23.7,22.7,24.4,23.0,23.6
9,Florida,0.97,522,493,1014,Florida,0.66,19.2,19.3,21.1,19.5,19.9
10,Georgia,0.7,542,522,1064,Georgia,0.53,20.9,20.7,21.2,21.4,21.4
11,Hawaii,0.56,550,549,1099,Hawaii,0.89,18.2,19.0,19.1,19.0,18.9
12,Idaho,1.0,508,493,1001,Idaho,0.36,21.9,21.6,23.2,22.1,22.3
13,Illinois,0.99,513,506,1019,Illinois,0.43,24.1,23.4,24.2,23.4,23.9
14,Indiana,0.67,546,539,1086,Indiana,0.32,21.9,22.3,23.1,22.2,22.5
15,Iowa,0.03,634,631,1265,Iowa,0.68,21.0,21.2,22.5,22.0,21.8
16,Kansas,0.04,633,631,1264,Kansas,0.71,21.0,21.1,22.3,21.5,21.6
17,Kentucky,0.04,630,618,1248,Kentucky,1.0,19.9,19.7,20.8,20.1,20.2
18,Louisiana,0.04,615,595,1210,Louisiana,1.0,19.0,18.5,19.6,19.1,19.2
19,Maine,0.99,512,501,1013,Maine,0.07,23.8,23.6,24.7,23.4,24.0
20,Maryland,0.76,545,535,1080,Maryland,0.31,22.1,22.0,23.1,22.2,22.5
21,Massachusetts,0.8,562,563,1125,Massachusetts,0.25,25.5,25.2,25.9,24.7,25.5
22,Michigan,1.0,511,499,1011,Michigan,0.22,24.5,23.9,24.7,23.9,24.4
23,Minnesota,0.04,643,655,1298,Minnesota,0.99,20.2,21.4,21.7,21.4,21.3
24,Mississippi,0.03,630,606,1236,Mississippi,1.0,18.2,18.1,18.9,18.6,18.6
25,Missouri,0.04,633,629,1262,Missouri,1.0,19.5,19.7,20.5,20.0,20.0
26,Montana,0.1,606,592,1198,Montana,1.0,18.7,19.9,20.7,20.0,20.0
27,Nebraska,0.03,629,623,1252,Nebraska,1.0,19.4,19.8,20.4,20.1,20.1
28,Nevada,0.23,574,566,1140,Nevada,1.0,16.6,17.8,18.0,17.9,17.7
29,New Hampshire,0.96,535,528,1063,New Hampshire,0.16,25.1,24.7,25.6,24.4,25.1
30,New Jersey,0.82,547,547,1094,New Jersey,0.31,23.8,23.6,24.0,23.0,23.7
31,New Mexico,0.16,552,540,1093,New Mexico,0.67,18.3,19.1,20.1,19.7,19.4
32,New York,0.79,534,534,1068,New York,0.27,24.2,24.2,24.9,24.2,24.5
33,North Carolina,0.52,554,543,1098,North Carolina,1.0,18.0,19.3,19.5,19.2,19.1
34,North Dakota,0.02,640,643,1283,North Dakota,0.98,19.1,20.3,20.7,20.5,20.3
35,Ohio,0.18,552,547,1099,Ohio,1.0,19.3,20.3,20.8,20.4,20.3
36,Oklahoma,0.08,541,521,1062,Oklahoma,1.0,18.4,18.8,20.1,19.4,19.3
37,Oregon,0.48,564,553,1117,Oregon,0.42,20.6,20.9,21.9,21.1,21.3
38,Pennsylvania,0.7,547,539,1086,Pennsylvania,0.2,23.3,23.2,24.0,23.1,23.5
39,Rhode Island,0.97,513,505,1018,Rhode Island,0.15,24.4,23.6,25.0,23.5,24.2
40,South Carolina,0.55,547,523,1070,South Carolina,1.0,17.3,18.2,18.6,18.5,18.3
41,South Dakota,0.03,622,618,1241,South Dakota,0.77,20.8,21.6,22.4,22.2,21.9
42,Tennessee,0.06,624,607,1231,Tennessee,1.0,19.4,19.1,19.9,19.6,19.6
43,Texas,0.66,520,512,1032,Texas,0.41,19.6,20.6,21.1,20.8,20.6
44,Utah,0.04,618,612,1230,Utah,1.0,19.7,19.9,20.9,20.5,20.4
45,Vermont,0.64,565,554,1120,Vermont,0.24,23.9,23.4,24.9,23.8,24.1
46,Virginia,0.68,567,550,1117,Virginia,0.24,23.8,23.3,24.7,23.5,23.9
47,Washington,0.69,543,538,1081,Washington,0.24,21.4,22.2,22.7,22.0,22.2
48,West Virginia,0.28,513,486,999,West Virginia,0.65,19.8,19.4,21.3,20.4,20.3
49,Wisconsin,0.03,641,653,1294,Wisconsin,1.0,19.8,20.3,20.6,20.8,20.5
50,Wyoming,0.03,633,625,1258,Wyoming,1.0,19.0,19.7,20.6,20.3,20.0
